frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
228,7.6,107.419,136.5537,0.034767,0.031065,0.030024,0.000504,0.005688,0
229,7.6333,107.4182,136.5578,0.034769,0.031065,0.030024,0.000592,0.00775,0
230,7.6667,107.4176,136.5595,0.034768,0.031065,0.030024,0.000348,0.008306,0
231,7.7,107.4169,136.561,0.034768,0.031065,0.030024,0.000126,0.006861,0
232,7.7333,107.4168,136.5612,0.034768,0.031065,0.030024,0.000238,0.008596,0
233,7.7667,107.4158,136.5616,0.034768,0.031065,0.030024,0.000558,0.006506,0
234,7.8,107.4156,136.5616,0.034768,0.031065,0.030024,0.000167,0.009588,0
235,7.8333,107.416,136.5618,0.034769,0.03107,0.030024,0.000935,0.005981,0
236,7.8667,107.4158,136.5627,0.034768,0.031065,0.030024,0.000852,0.005977,0
237,7.9,107.4146,136.6042,0.034768,0.031065,0.030024,0.0029,0.007284,0
238,7.9333,106.3505,139.5165,0.031711,0.026542,0.026384,0.080126,7.084767,0
239,7.9667,106.5798,139.315,0.032118,0.026438,0.026202,0.030989,3.904988,0
240,8.0,107.317,138.8811,0.030087,0.025628,0.025946,0.053836,4.512239,0
241,8.0333,107.301,139.055,0.030834,0.025618,0.026103,0.041191,4.359876,0
242,8.0667,107.3155,138.9916,0.031428,0.026038,0.02602,0.023853,1.694275,0
243,8.1,107.108,139.3084,0.031528,0.026023,0.026044,0.016077,1.541702,0
244,8.1333,106.9026,139.4947,0.031324,0.026226,0.025877,0.025511,2.004108,0
245,8.1667,106.8479,139.5193,0.031847,0.026285,0.025877,0.017033,2.091993,0
246,8.2,106.5582,139.9443,0.032401,0.026641,0.026,0.015272,1.57665,0
247,8.2333,106.4501,140.0741,0.031973,0.026834,0.02598,0.017304,2.547375,0
248,8.2667,106.2453,140.426,0.031079,0.027185,0.025877,0.018984,0.817906,0
249,8.3,105.8501,141.0986,0.032547,0.027961,0.026034,0.017928,0.828819,0
250,8.3333,105.4787,141.8426,0.032,0.028499,0.025837,0.021085,2.253668,0
251,8.3667,105.0496,142.9386,0.031811,0.02757,0.025561,0.030396,4.15237,0
252,8.4,105.0362,143.2863,0.03049,0.025801,0.025635,0.025791,4.105077,0
253,8.4333,104.7042,144.0086,0.032754,0.027101,0.025335,0.025705,3.918926,0
254,8.4667,104.7538,143.817,0.032407,0.026977,0.02565,0.01828,1.745118,0
255,8.5,104.8481,143.2787,0.035387,0.028317,0.026345,0.020297,2.739152,0
256,8.5333,104.8676,143.1336,0.036416,0.028559,0.026561,0.014642,0.825064,0
257,8.5667,104.8643,143.1482,0.036485,0.028613,0.026763,0.005611,0.020475,0
258,8.6,104.8641,143.1433,0.036607,0.028598,0.026763,0.006468,0.012886,0
259,8.6333,104.8574,143.1517,0.036576,0.028658,0.026837,0.004005,0.019281,0
