frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
118,3.9333,130.1923,62.6003,0.023312,0.026073,0.017474,0.00675,0.082233,0
119,3.9667,130.1399,62.7016,0.023257,0.026376,0.017474,0.00505,0.057608,0
120,4.0,130.1429,62.6855,0.023094,0.025803,0.017474,0.004662,0.030292,0
121,4.0333,129.962,62.7002,0.023172,0.025671,0.017474,0.00813,0.043623,0
122,4.0667,129.8851,62.704,0.023154,0.025625,0.017474,0.007871,0.035837,0
123,4.1,129.8067,62.5993,0.023326,0.025498,0.017472,0.012944,0.044249,0
124,4.1333,129.7227,62.6834,0.023165,0.025329,0.017477,0.007034,0.04801,0
125,4.1667,129.5603,62.7409,0.023127,0.025439,0.017569,0.006595,0.034849,0
126,4.2,129.3693,62.6283,0.0232,0.025586,0.017477,0.007718,0.038709,0
127,4.2333,129.3287,62.6516,0.02307,0.025415,0.017477,0.009658,0.062374,0
128,4.2667,129.1097,62.6405,0.023113,0.025724,0.017477,0.008781,0.057712,0
129,4.3,129.1175,62.6578,0.023037,0.025412,0.017477,0.004258,0.013532,0
130,4.3333,129.0535,62.574,0.023003,0.025248,0.017503,0.012825,0.031607,0
131,4.3667,128.9715,62.6716,0.023279,0.025283,0.018111,0.011379,0.026824,0
132,4.4,128.9743,62.5852,0.023516,0.025219,0.019193,0.009913,0.040816,0
133,4.4333,128.9677,62.5707,0.023407,0.02541,0.01911,0.008015,0.065342,0
134,4.4667,128.843,62.8808,0.023093,0.025553,0.017477,0.010293,0.045216,0
135,4.5,128.8428,62.9224,0.023064,0.025502,0.017509,0.005078,0.024718,0
136,4.5333,128.9044,62.7205,0.023477,0.025542,0.018956,0.008262,0.028979,0
137,4.5667,128.9177,62.7134,0.023449,0.025419,0.018952,0.00419,0.02848,0
138,4.6,128.8517,62.8597,0.023392,0.025358,0.017982,0.006753,0.04846,0
139,4.6333,128.8738,62.8634,0.023238,0.02557,0.017479,0.006689,0.033286,0
140,4.6667,128.8804,62.7905,0.023383,0.025801,0.017479,0.005338,0.022548,0
141,4.7,128.8514,62.8566,0.023341,0.025652,0.017479,0.005865,0.031331,0
142,4.7333,128.8535,62.8026,0.023335,0.025485,0.017479,0.004578,0.039458,0
143,4.7667,128.8541,62.7448,0.023434,0.025643,0.017479,0.005867,0.033939,0
144,4.8,128.8064,62.8003,0.023487,0.025597,0.01749,0.006331,0.036908,0
145,4.8333,128.864,62.7849,0.023469,0.025524,0.017488,0.005471,0.057663,0
146,4.8667,128.8603,62.7728,0.023513,0.025584,0.017488,0.003423,0.038555,0
147,4.9,128.8136,62.7584,0.023509,0.025566,0.017488,0.00487,0.032,0
148,4.9333,128.7572,62.8602,0.023524,0.025717,0.017488,0.007369,0.04069,0
149,4.9667,128.698,62.9213,0.023587,0.026088,0.017488,0.004284,0.026729,0
150,5.0,128.7128,62.9056,0.023602,0.026248,0.017488,0.005953,0.027503,0
151,5.0333,128.7486,62.8357,0.02352,0.026198,0.017488,0.006465,0.038666,0
152,5.0667,128.7298,62.8673,0.023636,0.026483,0.017488,0.005537,0.024077,0
153,5.1,128.8384,62.6638,0.023695,0.025917,0.017604,0.005229,0.063204,0
154,5.1333,128.8075,62.7627,0.02367,0.026154,0.017601,0.005663,0.05931,0
155,5.1667,128.7692,62.8017,0.023762,0.02649,0.01749,0.004884,0.051532,0
156,5.2,128.7876,62.8007,0.023735,0.026444,0.01749,0.004946,0.02705,0
157,5.2333,128.8435,62.6902,0.023717,0.026286,0.01749,0.005382,0.028905,0
158,5.2667,128.8115,62.7043,0.023791,0.026505,0.01749,0.003932,0.020091,0
159,5.3,128.8039,62.6827,0.023867,0.026553,0.01749,0.004479,0.022482,0
160,5.3333,128.8145,62.6398,0.023828,0.026281,0.01749,0.00386,0.03515,0
161,5.3667,128.8066,62.636,0.023849,0.026398,0.01749,0.003913,0.02227,0
162,5.4,128.7457,62.6877,0.023892,0.026426,0.01749,0.005409,0.025404,0
163,5.4333,128.6978,62.7195,0.02403,0.0266,0.01749,0.005338,0.028995,0
164,5.4667,128.6426,62.7997,0.024044,0.02692,0.01749,0.004724,0.044219,0
165,5.5,128.6039,62.8748,0.024072,0.026869,0.01749,0.004931,0.02748,0
166,5.5333,128.6669,62.7904,0.023994,0.02665,0.01749,0.0054,0.028745,0
167,5.5667,128.6376,62.8305,0.023997,0.026624,0.01749,0.00383,0.018221,0
168,5.6,128.64,62.8439,0.023961,0.026325,0.01749,0.006117,0.028614,0
169,5.6333,128.6579,62.8221,0.024007,0.026417,0.01749,0.006104,0.037963,0
